  Epoch    Train Loss    Test Loss    Base PSNR    Test PSNR
-------  ------------  -----------  -----------  -----------
      1   5.81608e-08  1.15941e-08      30.0037      28.2069
      2   1.1202e-08   1.0501e-08       30.0003      28.8524
      3   1.06176e-08  1.01465e-08      29.9741      29.1637
      4   1.03358e-08  1.01453e-08      29.9854      29.3735
      5   1.01446e-08  9.9869e-09       29.9954      29.504
      6   1.00471e-08  9.74708e-09      29.9489      29.5672
      7   9.97283e-09  9.83337e-09      29.9934      29.6739
      8   9.88048e-09  9.85808e-09      29.9991      29.7256
      9   9.86103e-09  9.47277e-09      30.0065      29.7838
     10   9.835e-09    9.53464e-09      29.967       29.7853
     11   9.88052e-09  9.69024e-09      30.0328      29.8722
     12   9.85686e-09  9.65775e-09      29.9701      29.8383
     13   9.74834e-09  9.55708e-09      29.9991      29.892
     14   9.78637e-09  9.64168e-09      29.9853      29.8957
     15   9.81669e-09  9.57325e-09      29.995       29.9233
     16   9.81824e-09  9.45652e-09      30.0007      29.9421
     17   9.69127e-09  9.49376e-09      29.974       29.9271
     18   9.71458e-09  9.4871e-09       29.9798      29.9424
     19   9.75365e-09  9.44137e-09      29.9718      29.9407
     20   9.7572e-09   9.5188e-09       29.9876      29.9612
     21   9.86366e-09  9.5352e-09       29.9752      29.9542
     22   9.74821e-09  9.47743e-09      29.9826      29.9654
     23   9.76301e-09  9.51063e-09      30.0261      30.012
     24   9.72481e-09  9.62425e-09      30.0025      29.9904
     25   9.73313e-09  9.46783e-09      30.0051      29.9959
     26   9.6893e-09   9.46072e-09      30.0129      30.0055
     27   9.7177e-09   9.39054e-09      29.9894      29.9834
     28   9.70066e-09  9.47988e-09      30.0119      30.0071
     29   9.71917e-09  9.64342e-09      29.963       29.9594
     30   9.73902e-09  9.41138e-09      29.9973      29.9939
     31   9.76713e-09  9.4673e-09       29.9885      29.9865
     32   9.67333e-09  9.49904e-09      29.9971      29.9954
     33   9.6567e-09   9.54079e-09      30.0108      30.0091
     34   9.72373e-09  9.42036e-09      29.9867      29.9857
     35   9.80693e-09  9.42907e-09      30.0258      30.0249
     36   9.69365e-09  9.48449e-09      30.0266      30.0259
     37   9.68907e-09  9.42286e-09      29.9969      29.9964
     38   9.67913e-09  9.37513e-09      29.9853      29.9847
     39   9.79852e-09  9.47312e-09      29.9945      29.9941
     40   9.72614e-09  9.44476e-09      30.0015      30.0012
     41   9.77895e-09  9.44857e-09      29.9867      29.9865
     42   9.71965e-09  9.57609e-09      29.9856      29.9852
     43   9.7768e-09   9.47843e-09      30.0211      30.0206
     44   9.7912e-09   9.42092e-09      29.9943      29.994
     45   9.7723e-09   9.51939e-09      30.0068      30.0066
     46   9.80978e-09  9.48895e-09      30.0152      30.0148
     47   9.75298e-09  9.44079e-09      29.9911      29.991
     48   9.71372e-09  9.49041e-09      29.9625      29.9624
     49   9.73117e-09  9.56261e-09      29.9955      29.9954
     50   9.70599e-09  9.49698e-09      29.9703      29.9702
     51   9.77472e-09  9.3522e-09       29.9809      29.9807
     52   9.68107e-09  9.62029e-09      29.9774      29.9773
     53   9.78046e-09  9.60824e-09      29.9769      29.9768
     54   9.79504e-09  9.43332e-09      29.9879      29.9877
     55   9.77463e-09  9.45598e-09      29.9896      29.9895
     56   9.7419e-09   9.33742e-09      30.0191      30.0191
     57   9.78053e-09  9.54604e-09      29.972       29.9721
     58   9.66735e-09  9.5138e-09       30.0195      30.0194
     59   9.75805e-09  9.4865e-09       30.0228      30.0227
     60   9.72632e-09  9.52867e-09      29.9825      29.9825
     61   9.70003e-09  9.55954e-09      29.9727      29.9727
     62   9.74616e-09  9.40653e-09      30.0011      30.001
     63   9.79329e-09  9.47075e-09      30.0593      30.0593
     64   9.68079e-09  9.4784e-09       29.9756      29.9756
     65   9.74205e-09  9.4318e-09       29.9736      29.9736
     66   9.69959e-09  9.58984e-09      29.9942      29.9942
     67   9.73185e-09  9.47238e-09      30.0112      30.0111
     68   9.79239e-09  9.6313e-09       29.955       29.955
     69   9.80606e-09  9.58915e-09      29.998       29.9979
     70   9.70398e-09  9.61899e-09      30.0016      30.0016
     71   9.7027e-09   9.56872e-09      29.9995      29.9995
     72   9.64618e-09  9.43319e-09      29.9741      29.9741
     73   9.70486e-09  9.43084e-09      29.9669      29.9669
     74   9.69239e-09  9.48584e-09      30.0179      30.0179
     75   9.74256e-09  9.59858e-09      29.971       29.971
     76   9.78503e-09  9.41953e-09      30.0239      30.0239
